bill_code,program,service_category,service_description,bill_description,is_cds,is_facility_based,funding_authority,unit_measure,units,payment,current_rate,attendant_cost,attendant_cost_pct,attendant_hours_per_unit,wage_required,rate_after_increase,rate_effective_date,sfy26_est_hours,sfy27_est_hours
2123M1099,HCS,ISS,Individualized Skills and Socialization LON 9 - On-Site,Individualized Skills and Socialization (ISS) LON 9 In-Home Other Residential Types,False,False,1915(c) waiver,1 hour,16656.75,415086.21,24.92,17.93,0.7195024077046548,1.0,16.200000000000003,24.92,2023-01-01 00:00:00,35042.47,35042.47
2123M1119,HCS,ISS,Individualized Skills and Socialization LON 5 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 5 Off-Site (Enhanced) LVL 2,False,False,1915(c) waiver,1 hour,158.0,3698.81,23.41,14.04,0.5997436992738145,1.0,12.69,23.41,2023-01-01 00:00:00,332.4,332.4
2137M0154,HCS,Employment Services,Employment Assistance and Supported Employment,SUPPORTED EMPLOYMENT LOC 1 (AO),False,False,1915(c) waiver,1 hour,38554.25,1298285.49,33.1,19.07,0.5761329305135952,1.0,17.23,33.1,2011-09-01 00:00:00,40555.22,40555.22
2137M0155,HCS,Employment Services,Employment Assistance and Supported Employment,SUPPORTED EMPLOYMENT LOC 8 (AO),False,False,1915(c) waiver,1 hour,1159.25,38382.8,33.1,19.07,0.5761329305135952,1.0,17.23,33.1,2011-09-01 00:00:00,1219.42,1219.42
2137VM0349,HCS,Employment Services,CDS Employment Assistance and Supported Employment,SUPPORTED EMPLOYMENT (CDS) LOC 1,True,False,1915(c) waiver,1 hour,145205.2,145205.2,32.1,18.493867069486406,0.5761329305135952,1.0,16.71,32.1,2013-09-01 00:00:00,4758.3,4758.3
2146M0149,HCS,SL/RSS,Supervised Living and Residential Support Services LON 1,RESIDENTIAL SUPPORT SERVICES LON 1,False,False,1915(c) waiver,"1 day = 18 hours, excluding 6 hours for Day Hab",210732.46,30502338.75,149.08,78.03999999999996,0.523477327609337,7.37,70.48,149.08,2023-09-01 00:00:00,1633704.03,1633704.03
2146M0150,HCS,SL/RSS,Supervised Living and Residential Support Services LON 5,RESIDENTIAL SUPPORT SERVICES LON 5,False,False,1915(c) waiver,"1 day = 18 hours, excluding 6 hours for Day Hab",946685.25,145268619.47,158.0,85.74000000000001,0.5426582278481014,7.37,77.43,158.0,2023-09-01 00:00:00,7339180.24,7339180.24
2146M0151,HCS,SL/RSS,Supervised Living and Residential Support Services LON 6,RESIDENTIAL SUPPORT SERVICES LON 6,False,False,1915(c) waiver,"1 day = 18 hours, excluding 6 hours for Day Hab",220365.0,41360002.75,192.8,115.87999999999998,0.6010373443983401,7.37,104.64,192.8,2023-09-01 00:00:00,1708380.32,1708380.32
2146M0152,HCS,SL/RSS,Supervised Living and Residential Support Services LON 8,RESIDENTIAL SUPPORT SERVICES LON 8,False,False,1915(c) waiver,"1 day = 18 hours, excluding 6 hours for Day Hab",573793.0,95442884.37,171.04,97.02999999999999,0.5672942001870906,7.37,87.62,171.04,2023-09-01 00:00:00,4448331.95,4448331.95
2146M0153,HCS,SL/RSS,Supervised Living and Residential Support Services LON 9,RESIDENTIAL SUPPORT SERVICES LON 9,False,False,1915(c) waiver,"1 day = 18 hours, excluding 6 hours for Day Hab",35215.0,9669518.65,280.24,191.63000000000002,0.6838067370825007,7.37,173.04,280.24,2023-09-01 00:00:00,273004.39,273004.39
2147M0166,HCS,SL/RSS,Supervised Living and Residential Support Services LON 1,SUPERVISED LIVING LON 1,False,False,1915(c) waiver,"1 day = 18 hours, excluding 6 hours for Day Hab",333682.79,47850387.74,149.08,78.03999999999999,0.5234773276093372,7.37,70.48,149.08,2023-09-01 00:00:00,2586876.83,2586876.83
