report_month,program,years_on_list_bucket,individuals,percent_of_program_total,source_file
2024-01-01,CLASS,15–16,5304,0.0643244,interest-list-data-jan-2024.xlsx
2024-01-01,CLASS,16–17,78,0.0009459,interest-list-data-jan-2024.xlsx
2024-01-01,CLASS,1–2,3979,0.0482555,interest-list-data-jan-2024.xlsx
2024-01-01,CLASS,2–3,4849,0.0588064,interest-list-data-jan-2024.xlsx
2024-01-01,CLASS,3–4,3930,0.0476612,interest-list-data-jan-2024.xlsx
2024-01-01,CLASS,4–5,6111,0.0741114,interest-list-data-jan-2024.xlsx
2024-01-01,CLASS,5–6,5909,0.0716616,interest-list-data-jan-2024.xlsx
2024-01-01,CLASS,6–7,6143,0.0744994,interest-list-data-jan-2024.xlsx
2024-01-01,CLASS,7–8,5689,0.0689935,interest-list-data-jan-2024.xlsx
2024-01-01,CLASS,8–9,5096,0.0618019,interest-list-data-jan-2024.xlsx
2024-01-01,CLASS,9–10,4616,0.0559807,interest-list-data-jan-2024.xlsx
2024-01-01,DBMD,0–1,350,0.1923077,interest-list-data-jan-2024.xlsx
2024-01-01,DBMD,11–12,1,0.0005495,interest-list-data-jan-2024.xlsx
2024-01-01,DBMD,15–16,1,0.0005495,interest-list-data-jan-2024.xlsx
2024-01-01,DBMD,1–2,320,0.1758242,interest-list-data-jan-2024.xlsx
2024-01-01,DBMD,2–3,235,0.1291209,interest-list-data-jan-2024.xlsx
2024-01-01,DBMD,3–4,277,0.1521978,interest-list-data-jan-2024.xlsx
2024-01-01,DBMD,4–5,234,0.1285714,interest-list-data-jan-2024.xlsx
2024-01-01,DBMD,5–6,171,0.093956,interest-list-data-jan-2024.xlsx
2024-01-01,DBMD,6–7,128,0.0703297,interest-list-data-jan-2024.xlsx
2024-01-01,DBMD,7–8,103,0.0565934,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,0–1,5410,0.0458642,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,10–11,6750,0.0572242,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,11–12,7655,0.0648965,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,12–13,7601,0.0644387,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,13–14,8072,0.0684317,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,14–15,7199,0.0610307,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,15–16,5671,0.0480768,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,16–17,2677,0.0226947,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,1–2,6170,0.0523072,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,2–3,6167,0.0522818,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,3–4,6281,0.0532482,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,4–5,8481,0.0718991,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,5–6,8290,0.0702798,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,6–7,8272,0.0701272,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,7–8,8817,0.0747476,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,8–9,7678,0.0650915,interest-list-data-jan-2024.xlsx
2024-01-01,HCS,9–10,6766,0.0573599,interest-list-data-jan-2024.xlsx
2024-01-01,MDCP,0–1,1795,0.337406,interest-list-data-jan-2024.xlsx
